time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2000-05-23,14.771428571428572,11.514285714285714,18.17142857142857,,,67.0,11.314285714285715,,1015.4714285714286,
2000-05-30,15.928571428571429,11.585714285714285,20.74285714285714,,,58.0,12.485714285714286,,1011.0142857142857,
2000-06-06,18.014285714285712,11.685714285714285,23.428571428571427,,,3.0,10.442857142857145,,1016.5857142857143,
2000-06-13,22.042857142857144,15.542857142857143,28.17142857142857,,,72.0,11.4,,1018.2714285714285,
2000-06-20,22.414285714285715,17.84285714285714,27.457142857142856,,,,9.185714285714285,,1017.5285714285714,
2000-06-27,24.385714285714283,18.814285714285713,29.12857142857143,,,,10.200000000000001,,1014.6142857142858,
2000-07-04,21.928571428571427,17.071428571428573,26.414285714285715,,,,6.8,,1014.4,
2000-07-11,22.52857142857143,16.728571428571428,27.62857142857143,,,,9.142857142857142,,1013.157142857143,
2000-07-18,21.571428571428573,16.442857142857143,27.357142857142858,,,,6.671428571428572,,1011.7285714285715,
2000-07-25,20.37142857142857,16.485714285714288,24.357142857142858,,,44.0,8.357142857142858,,1015.9571428571428,
2000-08-01,23.214285714285715,20.857142857142858,26.585714285714285,,,67.0,8.071428571428571,,1018.0142857142857,
2000-08-08,24.400000000000002,20.32857142857143,28.785714285714285,,,,7.857142857142857,,1015.0857142857143,
2000-08-15,22.02857142857143,19.12857142857143,26.042857142857144,,,15.0,8.785714285714286,,1012.8571428571429,
2000-08-22,17.816666666666666,12.583333333333334,22.95,,,,5.916666666666667,,1020.0833333333334,
2000-08-29,21.642857142857142,17.242857142857144,26.12857142857143,,,63.0,7.485714285714286,,1017.0,
2000-09-05,22.928571428571427,20.02857142857143,26.728571428571428,,,58.0,9.714285714285714,,1016.9285714285714,
2000-09-12,18.67142857142857,12.700000000000001,25.17142857142857,,,,6.057142857142857,,1021.9428571428572,
2000-09-19,17.985714285714288,11.6,23.414285714285715,,,,9.4,,1013.8333333333334,
2000-09-26,17.342857142857145,12.457142857142857,21.485714285714288,,,12.0,10.771428571428572,,1013.2571428571429,
2000-10-03,14.085714285714285,7.314285714285714,21.74285714285714,,,,7.1000000000000005,,1020.3142857142857,
2000-10-10,12.785714285714286,7.528571428571429,17.95714285714286,,,,9.814285714285715,,1016.9571428571428,
2000-10-17,13.457142857142857,6.671428571428572,21.97142857142857,,,69.0,8.471428571428572,,1020.9714285714286,
2000-10-24,11.442857142857141,3.9571428571428577,19.185714285714287,,,,6.0857142857142845,,1024.8142857142857,
2000-10-31,10.316666666666666,4.233333333333333,16.2,,,310.0,11.116666666666667,,1019.2166666666667,
2000-11-07,8.1,1.0285714285714285,16.114285714285714,,,,8.242857142857144,,1016.7857142857143,
2000-11-14,10.700000000000001,5.785714285714286,14.842857142857143,,,263.0,10.1,,1012.3714285714286,
2000-11-21,2.8428571428571425,-2.857142857142857,7.8428571428571425,,,279.0,11.385714285714286,,1015.842857142857,
2000-11-28,2.6999999999999997,-2.4571428571428577,8.2,,,276.0,11.971428571428572,,1019.3000000000001,
2000-12-05,0.6714285714285715,-4.185714285714286,5.8,,,,9.671428571428573,,1023.7571428571429,
2000-12-12,0.7285714285714285,-3.6142857142857143,4.685714285714285,,,,9.485714285714286,,1019.7571428571429,
2000-12-19,1.15,-4.083333333333333,6.133333333333333,,,,11.1,,1025.48,
2000-12-26,-5.857142857142857,-12.299999999999999,-1.4285714285714286,,,,12.5,,1025.4714285714285,
2001-01-02,-4.583333333333333,-8.883333333333333,-1.7833333333333332,,,291.5,12.85,,1016.8833333333333,
2001-01-09,-2.783333333333333,-8.666666666666666,1.9333333333333333,,,299.0,9.483333333333333,,1012.0600000000001,
2001-01-16,0.45714285714285713,-3.9714285714285715,6.014285714285714,,,,7.528571428571429,,1020.6571428571427,
2001-01-23,-0.8142857142857144,-4.671428571428572,3.185714285714286,,,38.0,9.985714285714286,,1020.5428571428572,
2001-01-30,0.4714285714285714,-4.042857142857143,5.242857142857143,,,,10.514285714285714,,1018.1428571428571,
2001-02-06,1.3714285714285714,-3.414285714285714,6.442857142857143,,,338.0,10.700000000000001,,1016.9714285714286,
2001-02-13,2.7285714285714286,-4.042857142857143,8.9,,,280.0,10.657142857142857,,1026.6285714285714,
2001-02-20,2.9,-2.157142857142857,7.385714285714286,,,309.0,9.842857142857143,,1020.5142857142856,
2001-02-27,2.042857142857143,-3.1999999999999997,7.3999999999999995,,,204.0,13.057142857142859,,1023.5857142857143,
2001-03-06,1.5714285714285714,-3.585714285714286,5.942857142857143,,,243.0,15.9,,1007.157142857143,
2001-03-13,3.5,-3.257142857142857,9.442857142857141,,,,11.299999999999999,,1012.9285714285714,
2001-03-20,5.328571428571428,-0.4857142857142857,10.571428571428571,,,,12.757142857142856,,1017.7428571428571,
2001-03-27,4.328571428571428,-0.3285714285714287,8.8,,,221.0,18.357142857142858,,1012.2857142857143,
2001-04-03,4.783333333333333,-1.2,10.083333333333334,,,,9.533333333333333,,1016.4,
2001-04-10,10.4,4.385714285714285,16.82857142857143,,,,9.742857142857144,,1019.0428571428572,
2001-04-17,11.814285714285715,7.528571428571429,16.414285714285715,,,,11.642857142857142,,1012.4,
2001-04-24,14.071428571428571,7.171428571428571,21.357142857142858,,,305.0,11.214285714285714,,1020.5,
2001-05-01,11.371428571428572,1.4285714285714286,19.514285714285712,,,,9.071428571428571,,1023.3857142857142,
2001-05-08,15.283333333333333,5.916666666666667,23.416666666666668,,,,8.916666666666666,,1026.08,
2001-05-15,17.157142857142855,8.828571428571427,24.67142857142857,,,324.0,10.357142857142858,,1016.3285714285714,
2001-05-22,14.928571428571429,11.6,18.67142857142857,,,82.0,10.985714285714286,,1013.4571428571428,
2001-05-29,17.12857142857143,13.557142857142859,22.385714285714283,,,,7.328571428571428,,1012.9,
2001-06-05,16.116666666666667,9.333333333333334,21.849999999999998,,,,9.9,,1013.4833333333332,
2001-06-12,20.585714285714285,13.657142857142857,26.74285714285714,,,,5.528571428571429,,1011.7857142857143,
2001-06-19,23.771428571428572,19.214285714285715,28.885714285714283,,,90.0,9.785714285714286,,1016.6142857142858,
2001-06-26,22.97142857142857,17.714285714285715,28.25714285714286,,,,6.614285714285714,,1019.3999999999999,
2001-07-03,24.0,17.857142857142858,29.614285714285717,,,,8.22857142857143,,1018.9,
2001-07-10,22.571428571428573,17.785714285714285,27.457142857142856,,,,6.3999999999999995,,1012.5428571428572,
2001-07-17,22.185714285714287,15.085714285714285,28.25714285714286,,,,6.942857142857143,,1012.2857142857143,
2001-07-24,22.099999999999998,16.585714285714285,27.52857142857143,,,50.0,9.085714285714285,,1017.0,
2001-07-31,21.12857142857143,16.67142857142857,25.87142857142857,,,49.0,10.014285714285714,,1019.3571428571429,
2001-08-07,24.32857142857143,18.74285714285714,30.085714285714285,,,,6.057142857142857,,1019.78,
2001-08-14,26.400000000000002,22.133333333333336,31.183333333333334,,,,6.816666666666666,,1014.3399999999999,
2001-08-21,23.67142857142857,18.97142857142857,28.385714285714283,,,,5.8428571428571425,,1015.157142857143,
2001-08-28,22.857142857142858,17.62857142857143,28.414285714285715,,,,6.728571428571429,,1015.7142857142857,
2001-09-04,21.685714285714287,16.342857142857145,26.75714285714286,,,,6.328571428571428,,1014.9428571428571,
2001-09-11,20.814285714285713,14.299999999999999,26.928571428571427,,,,6.0,,1020.1142857142858,
2001-09-18,15.700000000000001,7.942857142857143,23.32857142857143,,,,5.828571428571428,,1019.3142857142857,
2001-09-25,20.099999999999998,15.314285714285715,24.599999999999998,,,,6.714285714285714,,1015.6142857142858,
2001-10-02,12.257142857142856,7.285714285714286,17.385714285714286,,,0.0,10.028571428571428,,1015.1857142857143,
2001-10-09,12.942857142857141,5.728571428571429,20.24285714285714,,,,7.528571428571428,,1020.9571428571428,
2001-10-16,15.085714285714285,8.014285714285714,22.0,,,,7.542857142857144,,1020.9285714285714,
2001-10-23,12.957142857142857,6.142857142857143,19.928571428571427,,,267.0,9.5,,1018.6999999999999,
2001-10-30,10.785714285714286,3.7285714285714286,16.95714285714286,,,291.0,11.185714285714285,,1020.8166666666666,
